,respondentname,parentname,hmda_id,advertiser,parent,advertiser_id,score
2970.0,STATE BANK OF FARGO,STATE BANK OF FARGO,30000-0000019581,,,,
2971.0,BANNISTER BANK & TRUST,BANNISTER BANK & TRUST,30000-0000019582,,,,
2972.0,NORTHERN STATE BANK OF VA,NORTHERN STATE BANK OF VA,30000-0000019589,Northern State Bank,Northern State Bank,47543.0,92.68975101860694
2974.0,INTERNATIONAL BANK OF COMMERCE,INTERNATIONAL BANK OF COMMERCE,30000-0000019629,IBC Bank,Intl Bank Of Commerce,2066.0,100.0
2975.0,VALLEY VIEW STATE BANK,VALLEY VIEW STATE BANK,30000-0000019631,Valley State Bank,VALLEY STATE BANK,192414.0,84.54498178310695
2976.0,COMMUNITY BK & TRUST OF SE AL,COMMUNITY BK & TRUST OF SE AL,30000-0000019649,Community Bank & Trust,Community Bank & Trust,1005.0,85.55808793835818
2977.0,CENTRAL PROGRESSIVE BANK,CENTRAL PROGRESSIVE BANK,30000-0000019657,Central Progressive Bank,Central Progressive Bank,872.0,100.0
2978.0,DECATUR BANK AND TRUST COMPANY,DECATUR BANK AND TRUST COMPANY,30000-0000019668,,,,
2979.0,MISSOURI STATE BANK & TRUST CO,MISSOURI STATE BANK & TRUST CO,30000-0000019671,,,,
2981.0,GARDEN PLAIN STATE BANK,GARDEN PLAIN STATE BANK,30000-0000019687,,,,
2982.0,STATE BANK OF LONG ISLAND,STATE BANK OF LONG ISLAND,30000-0000019695,,,,
2983.0,VALUEBANK TEXAS,VALUEBANK TEXAS,30000-0000019700,Valuebank TX,Valuebank Tx,90431.0,86.79953921599713
2984.0,FIRST CENTRAL STATE BANK,FIRST CENTRAL STATE BANK,30000-0000019716,First Central State Bank,First Central State Bank,74094.0,100.0
2985.0,"FIRST WESTROADS BANK, INC.","FIRST WESTROADS BANK, INC.",30000-0000019742,,,,
2988.0,SOUTH LAFOURCHE BANK,SOUTH LAFOURCHE BANK,30000-0000019755,,,,
2989.0,STATE BANK OF JEFFERSON CO.,STATE BANK OF JEFFERSON CO.,30000-0000019770,,,,
2990.0,RIVER VALLEY STATE BANK,RIVER VALLEY STATE BANK,30000-0000019772,River Valley Investment Service,River Valley Bank,89480.0,83.0116710097925
2991.0,ABBOTSFORD STATE BANK,ABBOTSFORD STATE BANK,30000-0000019795,,,,
2993.0,CHESTER COUNTY BANK,CHESTER COUNTY BANK,30000-0000019813,Carter County Bank,Carter County Bank,73113.0,81.84609919258233
2994.0,VALLEY OF THE ROGUE BANK,VALLEY OF THE ROGUE BANK,30000-0000019823,,,,
2995.0,FIRST MUTUAL BANK,FIRST MUTUAL BANK,30000-0000019835,,,,
2997.0,BANK LEUMI USA,BANK LEUMI USA,30000-0000019842,,,,
2998.0,WEST GATE BANK,WEST GATE BANK,30000-0000019850,West Gate Bank,West Gate Bank,53540.0,100.0
2999.0,SUBURBAN BANK BARRINGTON,SUBURBAN BANK BARRINGTON,30000-0000019855,,,,
3000.0,CITYWIDE BANKS,CITYWIDE BANKS,30000-0000019858,,,,
3001.0,YADKIN VALLEY BANK AND TRUST,YADKIN VALLEY BANK AND TRUST,30000-0000019861,,,,
3002.0,REEVES BANK,REEVES BANK,30000-0000019868,,,,
3003.0,BBVA BANCO,BBVA BANCO,30000-0000019919,,,,
3004.0,CENTURY BANK AND TRUST CO.,CENTURY BANK AND TRUST CO.,30000-0000019943,,,,
3005.0,"LAKELAND BANK, ITS SUCCESSORS","LAKELAND BANK, ITS SUCCESSORS",30000-0000019953,,,,
3007.0,HARRIS BANK HOFFMAN SCHAUMBURG,HARRIS BANK HOFFMAN SCHAUMBURG,30000-0000019974,,,,
3008.0,FIRST MORRIS BANK AND TRUST,FIRST MORRIS BANK AND TRUST,30000-0000019975,,,,
3009.0,ILLINI BANK,ILLINI BANK,30000-0000019980,Illini Bank,Illini Bank,103811.0,100.0
3010.0,REPUBLIC BANK,REPUBLIC BANK,30000-0000020001,,,,
3011.0,MERCHANTS & MANUFACTURERS BANK,MERCHANTS & MANUFACTURERS BANK,30000-0000020040,Merchants & Farmers Bank,Merchants & Farmers Bank,149274.0,81.35461569727606
3012.0,"TECHE BANK & TRUST, CO.","TECHE BANK & TRUST, CO.",30000-0000020041,State Bank & Trust Co,State Bank & Trust Co,89865.0,82.82197425979561
3013.0,FIRSTBANK OF WHEAT RIDGE,FIRSTBANK OF WHEAT RIDGE,30000-0000020068,,,,
3014.0,HERITAGE COMMUNITY BANK,HERITAGE COMMUNITY BANK,30000-0000020078,Heritage Community Bank,Heritage Community Bank,1915.0,100.0
3015.0,SAND RIDGE BANK,SAND RIDGE BANK,30000-0000020086,,,,
3016.0,ALL AMERICA BANK,ALL AMERICA BANK,30000-0000020093,,,,
3018.0,SECURITY BANK OF DUPAGE,SECURITY BANK OF DUPAGE,30000-0000020111,,,,
3020.0,THE COASTAL BANK,THE COASTAL BANK,30000-0000020134,Coastal Bank,Coastal Bank,73289.0,100.0
3021.0,NORTH BANK,NORTH BANK,30000-0000020152,North Bank,North Bank,138109.0,100.0
3022.0,AMERICAN BANK & TRUST,AMERICAN BANK & TRUST,30000-0000020156,American Bank & Trust,American Bank & Trust,72236.0,100.0
3023.0,CITIZENS BANK OF LAS CRUCES,CITIZENS BANK OF LAS CRUCES,30000-0000020161,,,,
3024.0,BANK OF JACOMO,BANK OF JACOMO,30000-0000020183,Bank Of Jacomo,Bank of Jacomo,519.0,100.0
3025.0,INTERSTATE BANK,INTERSTATE BANK,30000-0000020203,Interstate Net Bank,Interstate Net Bank,28119.0,88.7582330756616
3026.0,BRUNSWICK BANK & TRUST,BRUNSWICK BANK & TRUST,30000-0000020220,Brunswick Bank & Trust,Brunswick Bank & Trust,650.0,100.0
3027.0,OAK BANK,OAK BANK,30000-0000020226,Oak Bank,Oak Bank,11981.0,100.0
3029.0,SECURITY BANK & TRUST COMPANY,SECURITY BANK & TRUST COMPANY,30000-0000020246,Security Bank & Trust Co,Security Bank & Trust Co,89687.0,100.0
3030.0,"MARINE BANK, SPRINGFIELD","MARINE BANK, SPRINGFIELD",30000-0000020250,,,,
3031.0,PEOPLESD BANK OF MADISON CO.,PEOPLESD BANK OF MADISON CO.,30000-0000020281,,,,
3032.0,HIGHLAND COMMUNITY BANK,HIGHLAND COMMUNITY BANK,30000-0000020290,,,,
3033.0,MERCANTILE BANK & TRUST,MERCANTILE BANK & TRUST,30000-0000020347,,,,
3035.0,FLORIDA BANK OF COMMERCE,FLORIDA BANK OF COMMERCE,30000-0000020358,,,,
3036.0,NORTH MILWAUKEE STATE BANK,NORTH MILWAUKEE STATE BANK,30000-0000020364,,,,
3038.0,HEARTLAND BANK & TRUST COMPANY,HEARTLAND BANK & TRUST COMPANY,30000-0000020369,Heartland Bank & Trust,Heartland Bank & Trust Co,84102.0,100.0
3040.0,CHEMICAL BANK SOUTH,CHEMICAL BANK SOUTH,30000-0000020433,,,,
3041.0,EDENS BANK,EDENS BANK,30000-0000020435,,,,
3042.0,SUBURBAN BANK & TRUST CO,SUBURBAN BANK & TRUST CO,30000-0000020443,,,,
3043.0,PAN AMERICAN BANK,PAN AMERICAN BANK,30000-0000020448,American Bank,American Bank,205.0,81.44477665227608
3044.0,AMERICAN BANK OF TEXAS,AMERICAN BANK OF TEXAS,30000-0000020473,American Bank Of TX,American Bank Of TX,17473.0,90.4139132177218
3045.0,EVERGREENBANK,EVERGREENBANK,30000-0000020501,Evergreen Bank,Evergreen Bank,1343.0,85.21989077721449
3046.0,AMERICAN BANK AND TRUST CO.,AMERICAN BANK AND TRUST CO.,30000-0000020537,,,,
3048.0,LUMBEE GUARANTY BANK,LUMBEE GUARANTY BANK,30000-0000020568,,,,
3049.0,SANWA BANK CALIFORNIA,SANWA BANK CALIFORNIA,30000-0000020589,,,,
3051.0,NORTH COMMUNITY BANK,NORTH COMMUNITY BANK,30000-0000020624,Morton Community Bank,Morton Community Bank,94821.0,86.09337156794483
3052.0,OMAHA STATE BANK,OMAHA STATE BANK,30000-0000020628,Omaha State Bank,Omaha State Bank,20200.0,100.0
3053.0,NORTHWEST BANK OF ROCKFORD,NORTHWEST BANK OF ROCKFORD,30000-0000020666,Northwest Bank Of Rockford,Northwest Bank Of Rockford,95103.0,100.0
3054.0,CITADEL BANK,CITADEL BANK,30000-0000020674,,,,
3056.0,HUDSON VALLEY BANK,HUDSON VALLEY BANK,30000-0000020693,,,,
3057.0,WHITE OAK STATE BANK,WHITE OAK STATE BANK,30000-0000020707,,,,
3058.0,TENNESSEE STATE BANK,TENNESSEE STATE BANK,30000-0000020720,Tennessee State Bank,Tennessee State Bank,25335.0,100.0
3059.0,AMERICA CALIFORNIA BANK,AMERICA CALIFORNIA BANK,30000-0000020726,,,,
3060.0,BRENTON BANK,BRENTON BANK,30000-0000020740,,,,
3061.0,PIONEER SAVINGS BANK,PIONEER SAVINGS BANK,30000-0000020741,,,,
3062.0,BANK OF MONTGOMERY,BANK OF MONTGOMERY,30000-0000020769,,,,
3063.0,PACIFIC CONTINENTAL BANK,PACIFIC CONTINENTAL BANK,30000-0000020774,Pacific National Bank,Pacific National Bank,70456.0,80.14905267975182
3064.0,HARRIS BANK OAKBROOK TERRACE,HARRIS BANK OAKBROOK TERRACE,30000-0000020807,,,,
3065.0,CITIZENS TRI-COUNTY BANK,CITIZENS TRI-COUNTY BANK,30000-0000020818,Citizens Tri-County Bank,Citizens Tri-County Bank,214225.0,100.0
3067.0,BANK OF COWETA,BANK OF COWETA,30000-0000020827,,,,
3068.0,BANCO SANTANDER PUERTO RICO,BANCO SANTANDER PUERTO RICO,30000-0000020828,,,,
3069.0,BANK OF PENSACOLA,BANK OF PENSACOLA,30000-0000020830,Bank Of Pensacola,Bank Of Pensacola,63634.0,100.0
3070.0,WALLIS STATE BANK,WALLIS STATE BANK,30000-0000020845,,,,
3071.0,CALIFORNIA BANK & TRUST,CALIFORNIA BANK & TRUST,30000-0000020852,,,,
3073.0,CITIZENS GUARANTY BANK,CITIZENS GUARANTY BANK,30000-0000020872,,,,
3074.0,NEBRASKA STATE BANK,NEBRASKA STATE BANK,30000-0000020927,State Of NE,Nebraska State Of,66503.0,84.77249735169865
3075.0,THE HEIGHHTS BANK,THE HEIGHHTS BANK,30000-0000020930,,,,
3076.0,NORTHSTAR BANK OF TEXAS,NORTHSTAR BANK OF TEXAS,30000-0000020935,,,,
3079.0,ARAPAHOE BANK AND TRUST,ARAPAHOE BANK AND TRUST,30000-0000021001,,,,
3080.0,OJAI VALLEY BANK,OJAI VALLEY BANK,30000-0000021017,Ohio Valley Bank,Ohio Valley Bank,2864.0,81.59041533784385
3081.0,THE BANK OF TAMPA,THE BANK OF TAMPA,30000-0000021031,Bank Of Tampa,Bank Of Tampa,511.0,100.0
3082.0,BB&T OF SC,BB&T OF SC,30000-0000021098,,,,
3083.0,WILL ROGERS BANK,WILL ROGERS BANK,30000-0000021110,,,,
3084.0,BRIDGEVIEW BANK AND TRUST,BRIDGEVIEW BANK AND TRUST,30000-0000021122,,,,
3085.0,CLAYCO STATE BANK,CLAYCO STATE BANK,30000-0000021127,Layton State Bank,Layton State Bank,19636.0,82.23273106745266
3086.0,BANK OF THE BLUEGRASS & TRUST,BANK OF THE BLUEGRASS & TRUST,30000-0000021161,Bank Of The Bluegrass,Bank Of The Bluegrass & Trust Co,82137.0,83.6315709812926
3088.0,ESPIRITO SANTO BANK,ESPIRITO SANTO BANK,30000-0000021220,,,,
3089.0,ASSOCIATED BANK MINNESOTA,ASSOCIATED BANK MINNESOTA,30000-0000021222,,,,
3090.0,AMERICAN COMMERCIAL BANK,AMERICAN COMMERCIAL BANK,30000-0000021224,American Commerce Bank,American Commerce Bank NA,180979.0,90.67409414968938
3091.0,CITIZENS BANK OF BLOUNT COUNTY,CITIZENS BANK OF BLOUNT COUNTY,30000-0000021227,CBBC Citizens Bank Of Blount County,Citizens Bank Of Blount County,942.0,100.0
3092.0,PUYALLUP VALLEY BANK,PUYALLUP VALLEY BANK,30000-0000021231,,,,
3093.0,COMMUNITY BANK OF FLORIDA,COMMUNITY BANK OF FLORIDA,30000-0000021258,,,,
3094.0,BAC FLORIDA BANK,BAC FLORIDA BANK,30000-0000021265,,,,
3096.0,THE QUINCY STATE BANK,THE QUINCY STATE BANK,30000-0000021295,,,,
3098.0,POTOMAC VALLEY BANK,POTOMAC VALLEY BANK,30000-0000021415,,,,
3099.0,TIB BANK OF THE KEYS,TIB BANK OF THE KEYS,30000-0000021435,,,,
3101.0,HOLLADAY BANK AND TRUST,HOLLADAY BANK AND TRUST,30000-0000021448,,,,
3102.0,MID-TOWN BANK,MID-TOWN BANK,30000-0000021449,,,,
3103.0,FIDELITY BANK OF TEXAS,FIDELITY BANK OF TEXAS,30000-0000021455,Fidelity Bank Of TX,Fidelity Bank Of TX,194936.0,89.87127184897378
3104.0,TOTALBANK,TOTALBANK,30000-0000021468,,,,
3105.0,SHREWSBURY STATE BANK,SHREWSBURY STATE BANK,30000-0000021492,,,,
3106.0,BARTOW COUNTY BANK,BARTOW COUNTY BANK,30000-0000021495,Carter County Bank,Carter County Bank,73113.0,80.03648957699588
3107.0,THE BANK/FIRST CITIZENS BANK,THE BANK/FIRST CITIZENS BANK,30000-0000021498,,,,
3108.0,CITYBANK,CITYBANK,30000-0000021521,,,,
3109.0,BANK OF TENNESSEE,BANK OF TENNESSEE,30000-0000021573,,,,
3111.0,BANK OF BOURBONNAIS,BANK OF BOURBONNAIS,30000-0000021635,,,,
3113.0,FIRSTIER BANK,FIRSTIER BANK,30000-0000021690,First Bank Na,First Bank Na,102990.0,82.33963417510563
3114.0,BANK OF NEBRASKA,BANK OF NEBRASKA,30000-0000021704,,,,
3116.0,CITIZENS BUSINESS BANK,CITIZENS BUSINESS BANK,30000-0000021716,,,,
3117.0,HERITAGE BANK OF SCHAUMBURG,HERITAGE BANK OF SCHAUMBURG,30000-0000021721,,,,
3120.0,PACIFIC UNION BANK,PACIFIC UNION BANK,30000-0000021765,,,,
3121.0,WAKULLA BANK,WAKULLA BANK,30000-0000021777,Wakulla Bank,Wakulla Bank,34723.0,100.0
3122.0,TALLAHASSEE STATE BANK,TALLAHASSEE STATE BANK,30000-0000021866,,,,
3123.0,FIRST PEOPLES BANK OF TN.,FIRST PEOPLES BANK OF TN.,30000-0000021874,,,,
3124.0,BANK STAR,BANK STAR,30000-0000021897,,,,
3126.0,MILLBURY SAVINGS BANK,MILLBURY SAVINGS BANK,30000-0000021920,,,,
3127.0,KIRKWOOD BANK & TRUST CO.,KIRKWOOD BANK & TRUST CO.,30000-0000021928,,,,
3128.0,TRI COUNTIES BANK,TRI COUNTIES BANK,30000-0000021943,,,,
3129.0,STATE BANK OF COUNTRYSIDE,STATE BANK OF COUNTRYSIDE,30000-0000021952,,,,
3130.0,CHISHOLM TRAIL STATE BANK,CHISHOLM TRAIL STATE BANK,30000-0000021955,Chisholm Trail State Bank,Chisholm Trail State Bank,194093.0,100.0
3131.0,MONTECITO BANK & TRUST,MONTECITO BANK & TRUST,30000-0000021956,,,,
3132.0,TEXAS FIRST BANK,TEXAS FIRST BANK,30000-0000021960,Texas First Bank,Texas First Bank,80843.0,100.0
3133.0,BANK OF PALATINE,BANK OF PALATINE,30000-0000021971,Bank Of Palestine,Bank of Palestine,145678.0,86.86260781975271
3134.0,FRONTIER STATE BANK,FRONTIER STATE BANK,30000-0000021978,,,,
3135.0,BANK OF CENTRAL FLORIDA,BANK OF CENTRAL FLORIDA,30000-0000021979,,,,
3136.0,FAR WEST BANK,FAR WEST BANK,30000-0000021987,,,,
3137.0,OZAUKEE BANK,OZAUKEE BANK,30000-0000022017,,,,
3138.0,INSOUTH BANK,INSOUTH BANK,30000-0000022020,Southbank,South Bank,25153.0,84.71338905481711
3139.0,FIRST STATE BANK OF BLOOMINGTO,FIRST STATE BANK OF BLOOMINGTO,30000-0000022034,,,,
3140.0,FIRSTBANK OF BOULDER,FIRSTBANK OF BOULDER,30000-0000022036,,,,
3141.0,GRAND PRAIRIE STATE BANK,GRAND PRAIRIE STATE BANK,30000-0000022040,,,,
3142.0,FIRSTBANK OF DOUGLAS COUNTY,FIRSTBANK OF DOUGLAS COUNTY,30000-0000022042,,,,
3143.0,ABINGTON SAVINGS BANK,ABINGTON SAVINGS BANK,30000-0000022051,,,,
3144.0,GRAND LAKE BANK,GRAND LAKE BANK,30000-0000022065,,,,
3145.0,MASSBANK,MASSBANK,30000-0000022089,MassBank,MassBank,75397.0,100.0
3146.0,INDEPENDENT BANK WEST MI.,INDEPENDENT BANK WEST MI.,30000-0000022094,Independent Bank,Independent Bank,2022.0,80.54091863331999
3148.0,HILLCREST BANK,HILLCREST BANK,30000-0000022173,Hillcrest Bank,Hillcrest Bank,1923.0,100.0
3149.0,BANK OF LOS ALTOS,BANK OF LOS ALTOS,30000-0000022176,,,,
3150.0,ASSOCIATED BANK CHICAGO,ASSOCIATED BANK CHICAGO,30000-0000022177,,,,
3151.0,"COMMERCE BANK, NORTH","COMMERCE BANK, NORTH",30000-0000022178,Commerce Bank,Commerce Bank,983.0,80.6971165593168
3152.0,THE SUSSEX COUNTY STATE BANK,THE SUSSEX COUNTY STATE BANK,30000-0000022221,,,,
3153.0,UNITEDKINGFIELD BANK,UNITEDKINGFIELD BANK,30000-0000022226,,,,
3157.0,FNBW - BANK,FNBW - BANK,30000-0000022282,,,,
3158.0,BANCO FINANCIERO DE PR,BANCO FINANCIERO DE PR,30000-0000022302,Banco Financiero,Banco Financiero,82029.0,83.1537341418267
3160.0,WEST MICHIGAN COMMUNITY BANK,WEST MICHIGAN COMMUNITY BANK,30000-0000022308,West MI Community Bank,West MI Community Bank,44105.0,84.98084286799352
3161.0,DELAWARE PLACE BANK,DELAWARE PLACE BANK,30000-0000022370,,,,
3162.0,MCMULLEN BANK,MCMULLEN BANK,30000-0000022393,,,,
3163.0,BANK OF THE CASCADES,BANK OF THE CASCADES,30000-0000022407,,,,
3165.0,KENTUCKY BANK & TRUST,KENTUCKY BANK & TRUST,30000-0000022437,Century Bank & Trust Co,Century Bank & Trust,123304.0,83.372444185741
3166.0,AMERIMARK BANK,AMERIMARK BANK,30000-0000022444,America Bank,America Bank,204071.0,81.04865651334353
3167.0,FEATHER RIVER STATE BANK,FEATHER RIVER STATE BANK,30000-0000022445,,,,
3168.0,VOLUNTEER STATE BANK,VOLUNTEER STATE BANK,30000-0000022451,,,,
3169.0,MONTEREY COUNTY BANK,MONTEREY COUNTY BANK,30000-0000022460,Elite Plus,Monterey County Bank,56924.0,100.0
3170.0,COLUMBIA RIVER BANK,COLUMBIA RIVER BANK,30000-0000022469,Columbia River Bank,COLUMBIA RIVER BANK,72950.0,100.0
3171.0,COMMUNITY BANK OF LAWNDALE,COMMUNITY BANK OF LAWNDALE,30000-0000022476,,,,
3172.0,YOSEMITE BANK,YOSEMITE BANK,30000-0000022486,,,,
3173.0,CENTENNIAL BANK,CENTENNIAL BANK,30000-0000022493,Centennial Bank,Centennial Bank,865.0,100.0
3174.0,VISALIA COMMUNITY BANK,VISALIA COMMUNITY BANK,30000-0000022496,,,,
3175.0,SPRING HILL STATE BANK,SPRING HILL STATE BANK,30000-0000022526,,,,
3176.0,BANK OF WHITMAN,BANK OF WHITMAN,30000-0000022528,,,,
3177.0,FAMILY BANK AND TRUST COMPANY,FAMILY BANK AND TRUST COMPANY,30000-0000022536,,,,
3178.0,PEOPLES BANK OF NORTH ALABAMA,PEOPLES BANK OF NORTH ALABAMA,30000-0000022537,,,,
3179.0,FIRST INTERSTATE BANK FKA ESB,FIRST INTERSTATE BANK FKA ESB,30000-0000022547,,,,
3181.0,BANK CENTER FIRST,BANK CENTER FIRST,30000-0000022559,,,,
3183.0,BB&T OF VA,BB&T OF VA,30000-0000022584,,,,
3184.0,NORTH AMERICAN BANK & TRUST CO,NORTH AMERICAN BANK & TRUST CO,30000-0000022586,,,,
3185.0,BANK OF THE SIERRA,BANK OF THE SIERRA,30000-0000022597,,,,
3186.0,FIRSTBANK OF SOUTH JEFFCO,FIRSTBANK OF SOUTH JEFFCO,30000-0000022613,,,,
3187.0,"REPUBLIC BANK, INC","REPUBLIC BANK, INC",30000-0000022618,Allied Waste,Republic Services Inc,80192.0,80.26625115682089
3188.0,BANK OF SHOREWOOD,BANK OF SHOREWOOD,30000-0000022637,,,,
3189.0,KINGS RIVER STATE BANK,KINGS RIVER STATE BANK,30000-0000022638,Pine River State Bank,Pine River State Bank,166522.0,85.13821084439269
3190.0,COWLITZ BANK,COWLITZ BANK,30000-0000022643,,,,
3191.0,COMMUNITY BANK OF ARIZONA,COMMUNITY BANK OF ARIZONA,30000-0000022644,,,,
3192.0,ASAHI BANK OF CALIFORNIA,ASAHI BANK OF CALIFORNIA,30000-0000022671,,,,
3193.0,FRONTIER BANK,FRONTIER BANK,30000-0000022710,Frontier Bank,Frontier Bank,1681.0,100.0
3194.0,COLUMBIAN BANK AND TRUST CO.,COLUMBIAN BANK AND TRUST CO.,30000-0000022728,,,,
3195.0,RANDOLPH BANK & TRUST CO,RANDOLPH BANK & TRUST CO,30000-0000022746,,,,
3196.0,MERCANTILE BANK TEXAS,MERCANTILE BANK TEXAS,30000-0000022790,,,,
3197.0,FIRSTBANK OF ARVADA,FIRSTBANK OF ARVADA,30000-0000022794,,,,
3198.0,BRICKYARD BANK,BRICKYARD BANK,30000-0000022811,,,,
3199.0,BROADWAY BANK,BROADWAY BANK,30000-0000022853,,,,
3200.0,KLEIN BANK,KLEIN BANK,30000-0000022866,,,,
3201.0,FIRST COMMUNITY BANK OF WASHIN,FIRST COMMUNITY BANK OF WASHIN,30000-0000022868,,,,
3202.0,SOUTHWEST MISSOURI BANK,SOUTHWEST MISSOURI BANK,30000-0000022876,,,,
3203.0,LUZO COMMUNITY BANK,LUZO COMMUNITY BANK,30000-0000022893,,,,
3204.0,COMERICA BANK - CALIFORNIA,COMERICA BANK - CALIFORNIA,30000-0000022894,,,,
3206.0,RANCHO BANK,RANCHO BANK,30000-0000022934,,,,
3207.0,SCOTIABANK DE PUERTO RICO,SCOTIABANK DE PUERTO RICO,30000-0000022946,,,,
3209.0,WONDER LAKE STATE BANK,WONDER LAKE STATE BANK,30000-0000022971,,,,
3211.0,GRANDBANK,GRANDBANK,30000-0000022988,,,,
3212.0,AMERICAN PACIFIC BANK,AMERICAN PACIFIC BANK,30000-0000023001,American Pacific State Bank,American Pacific State Bank,245.0,85.7618071545534
3213.0,FIRST REGIONAL BANK,FIRST REGIONAL BANK,30000-0000023011,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,82.79857220696579
3214.0,CLOVIS COMMUNITY BANK,CLOVIS COMMUNITY BANK,30000-0000023030,,,,
3215.0,COMMUNITY MUTUAL SAVINGS BANK,COMMUNITY MUTUAL SAVINGS BANK,30000-0000023047,Community Savings Bank,Community Savings Bank,1013.0,83.31905981645468
3216.0,BANK OF YORBA LINDA,BANK OF YORBA LINDA,30000-0000023063,,,,
3217.0,ALPINE BANK,ALPINE BANK,30000-0000023091,Alpine Bank,Alpine Bank,63249.0,100.0
3218.0,BOREL BANK & TRUST CO.,BOREL BANK & TRUST CO.,30000-0000023092,Borel Bank & Trust Co,Borel Bank & Trust Co,616.0,100.0
3219.0,BANK OF BARTLETT,BANK OF BARTLETT,30000-0000023123,Bank Of Bartlett,Bank Of Bartlett,473.0,100.0
3220.0,CHARTER BANK EAU CLAIRE,CHARTER BANK EAU CLAIRE,30000-0000023137,,,,
3221.0,SOUTH LOUISIANA BANK,SOUTH LOUISIANA BANK,30000-0000023144,,,,
3223.0,WOODCREEK BANK,WOODCREEK BANK,30000-0000023168,,,,
3224.0,THE MISSION BANK,THE MISSION BANK,30000-0000023173,Mission Bank,Mission Bank,2606.0,100.0
3225.0,THE STOCKMEN'S BANK,THE STOCKMEN'S BANK,30000-0000023182,Stockmens Bank,Stockmens Bank,8423.0,100.0
3226.0,MISSISSIPPI RIVER BANK,MISSISSIPPI RIVER BANK,30000-0000023222,Mississippi River Bank,Mississippi River Bank,56903.0,100.0
3229.0,FIRST BANK OF SAN LUIS OBISPO,FIRST BANK OF SAN LUIS OBISPO,30000-0000023265,,,,
3230.0,PLUMAS BANK,PLUMAS BANK,30000-0000023275,,,,
3232.0,FALL RIVER FIVE CENTS SAVINGS,FALL RIVER FIVE CENTS SAVINGS,30000-0000023286,,,,
3233.0,CAPE COD FIVE CENTS SAVINGS BA,CAPE COD FIVE CENTS SAVINGS BA,30000-0000023287,Cape Cod 5 Bank,Cape Cod Five Cents Savings Bank,73054.0,96.74147410314275
3234.0,LAWRENCE SAVINGS BANK,LAWRENCE SAVINGS BANK,30000-0000023288,Florence Savings Bank,Florence Savings Bank,36825.0,85.59149442801316
3235.0,MEDFORD SAVINGS BANK,MEDFORD SAVINGS BANK,30000-0000023290,Milford Savings Bank,Milford Savings Bank,2596.0,87.21495880569236
3236.0,COMPASS BANK FOR SAVINGS,COMPASS BANK FOR SAVINGS,30000-0000023291,,,,
3237.0,FLORENCE SAVINGS BANK,FLORENCE SAVINGS BANK,30000-0000023293,Florence Savings Bank,Florence Savings Bank,36825.0,100.0
3238.0,SALEM FIVE CENT SAVINGS BANK,SALEM FIVE CENT SAVINGS BANK,30000-0000023296,Directbanking.com,Salem Five Cents Savings Bank,8249.0,97.87810199787157
3239.0,WATERTOWN SAVINGS BANK,WATERTOWN SAVINGS BANK,30000-0000023298,Watertown Savings Bank,Watertown Savings Bank,8914.0,100.0
3240.0,ANTELOPE VALLEY BANK,ANTELOPE VALLEY BANK,30000-0000023339,,,,
3241.0,SOUTH COASTAL BANK,SOUTH COASTAL BANK,30000-0000023345,,,,
3242.0,FIRST WESTERN BANK,FIRST WESTERN BANK,30000-0000023357,,,,
3243.0,UNITED ORIENT BANK,UNITED ORIENT BANK,30000-0000023373,United Nebraska Bank,United Ne Bank,34584.0,80.50531986771652
3245.0,MELLON 1ST BUSINESS BANK,MELLON 1ST BUSINESS BANK,30000-0000023406,,,,
3246.0,PUBLIC BANK,PUBLIC BANK,30000-0000023410,,,,
3248.0,PLYMOUTH SAVINGS BANK,PLYMOUTH SAVINGS BANK,30000-0000023463,,,,
3249.0,FIRSTBANK OF LAKEWOOD,FIRSTBANK OF LAKEWOOD,30000-0000023470,,,,
3250.0,OCEANIC BANK,OCEANIC BANK,30000-0000023502,Ocean Bank,Ocean Bank,2854.0,87.87867257106234
3252.0,SOUTHBRIDGE SAVINGS BANK,SOUTHBRIDGE SAVINGS BANK,30000-0000023524,Southbridge Savings Bank,Southbridge Savings Bank,80553.0,100.0
3253.0,FIRST MOUNTAIN BANK,FIRST MOUNTAIN BANK,30000-0000023544,,,,
3254.0,MUNICIPAL TRUST AND SAVINGS BA,MUNICIPAL TRUST AND SAVINGS BA,30000-0000023546,,,,
3255.0,ROCKWELL BANK,ROCKWELL BANK,30000-0000023558,,,,
3256.0,THE BUSINESS BANK,THE BUSINESS BANK,30000-0000023567,Business Backer,Business Backer,122981.0,84.45258967747658
3258.0,CENTRAL SIERRA BANK,CENTRAL SIERRA BANK,30000-0000023579,,,,
3260.0,DEDHAM INSTITUTION FOR SAVINGS,DEDHAM INSTITUTION FOR SAVINGS,30000-0000023620,Dedham Savings Bank,Dedham Institution For Savings,1164.0,100.0
3261.0,BERKSHIRE BANK,BERKSHIRE BANK,30000-0000023621,,,,
3262.0,BRISTOL COUNTY SAVINGS BANK,BRISTOL COUNTY SAVINGS BANK,30000-0000023622,,,,
3263.0,THE WASHINGTON TRUST COMPANY,THE WASHINGTON TRUST COMPANY,30000-0000023623,Washington Trust Bank,Washington Trust Bank,8911.0,83.39839151270205
3265.0,REPUBLIC BANK AND TRUST CO,REPUBLIC BANK AND TRUST CO,30000-0000023627,Republic Bank & Trust,Republic Bank & Trust Co,16353.0,91.82650350541
